stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion
GCMCAPI,GCM Capital Advisors Ltd,Financials,Smallcap,High Risk,bad
GCMSECU,GCM Securities Ltd,Financials,Smallcap,High Risk,bad
GEE,GEE Ltd,Industrials,Smallcap,Moderate Risk,bad
GEECEE,GeeCee Ventures Ltd,Real Estate,Smallcap,Moderate Risk,bad
GEEKAYWIRE,Geekay Wires Ltd,Materials,Smallcap,Moderate Risk,bad
GEL,Gautam Exim Ltd,Materials,Smallcap,High Risk,bad
GEMSI,Gemstone Investments Ltd,Financials,Smallcap,Moderate Risk,bad
GEMSPIN,Gem Spinners India Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
GENCON,Generic Engineering Construction and Projects Ltd,Industrials,Smallcap,Moderate Risk,bad
GENERAAGRI,Genera Agri Corp Ltd,Consumer Staples,Smallcap,High Risk,bad
GENESYS,Genesys International Corporation Ltd,Information Technology,Smallcap,Moderate Risk,bad
GENNEX,Gennex Laboratories Ltd,Health Care,Smallcap,High Risk,bad
GENPHARMA,Generic Pharmasec Ltd,Industrials,Smallcap,Moderate Risk,bad
GENUSPAPER,Genus Paper & Boards Ltd,Materials,Smallcap,High Risk,bad
GENUSPOWER,Genus Power Infrastructures Ltd,Information Technology,Smallcap,Moderate Risk,bad
GENUSPRIME,Genus Prime Infra Ltd,Real Estate,Smallcap,Moderate Risk,bad
GEOJITFSL,Geojit Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
GET&D,Ge T&D India Ltd,Industrials,Smallcap,Moderate Risk,bad
GFIL,Ganesh Films India Ltd,Communication Services,Smallcap,High Risk,bad
GFLLIMITED,GFL Ltd,Materials,Smallcap,Moderate Risk,bad
GFSTEELS,Grand Foundry Ltd,Materials,Smallcap,Moderate Risk,bad
GGDANDE,GG Dandeker Machine Works Ltd,Industrials,Smallcap,High Risk,bad
GGENG,G G Engineering Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GGL,Gautam Gems Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GGPL,Gala Global Products Ltd,Industrials,Smallcap,Moderate Risk,bad
GHCL,GHCL Ltd,Materials,Smallcap,Moderate Risk,bad
GICL,Globe International Carriers Ltd,Industrials,Smallcap,Moderate Risk,bad
GILADAFINS,Gilada Finance and Investments Ltd,Financials,Smallcap,Moderate Risk,bad
GILLANDERS,Gillanders Arbuthnot & Co Ltd,Industrials,Smallcap,Moderate Risk,bad
GINISILK,Gini Silk Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GINNIFILA,Ginni Filaments Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GIPCL,Gujarat Industries Power Company Ltd,Utilities,Smallcap,Low Risk,bad
GIRIRAJ,Giriraj Civil Developers Ltd,Industrials,Smallcap,Moderate Risk,bad
GISOLUTION,GI Engineering Solutions Ltd,Industrials,Smallcap,Moderate Risk,bad
GITARENEW,Gita Renewable Energy Ltd,Utilities,Smallcap,Low Risk,bad
GKB,GKB Ophthalmics Ltd,Health Care,Smallcap,High Risk,bad
GKCONS,G K Consultants Ltd,Financials,Smallcap,Moderate Risk,bad
GKP,G K P Printing & Packaging Ltd,Materials,Smallcap,High Risk,bad
GKWLIMITED,GKW Ltd,Industrials,Smallcap,Moderate Risk,bad
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,Health Care,Midcap,Low Risk,bad
GLCL,Globe Commercials Ltd,Industrials,Smallcap,Moderate Risk,bad
GLENMARK,Glenmark Pharmaceuticals Ltd,Health Care,Midcap,Moderate Risk,bad
GLFL,Gujarat Lease Financing Ltd,Financials,Smallcap,Moderate Risk,bad
GLITTEKG,Glittek Granites Ltd,Industrials,Smallcap,Moderate Risk,bad
GLOBAL,Global Education Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GLOBALCA,Global Capital Markets Ltd,Financials,Smallcap,Moderate Risk,bad
GLOBALVECT,Global Vectra Helicorp Ltd,Industrials,Smallcap,Moderate Risk,bad
GLOBE,Globe Textiles (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GLOBOFFS,Global Offshore Services Ltd,Energy,Smallcap,High Risk,bad
GLOBUSCON,Globus Power Generation Ltd,Utilities,Smallcap,Low Risk,bad
GLOBUSSPR,Globus Spirits Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GLOSTERLTD,Gloster Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GMBREW,G M Breweries Ltd,Consumer Staples,Smallcap,Low Risk,bad
GMDCLTD,Gujarat Mineral Development Corporation Ltd,Materials,Smallcap,Moderate Risk,bad
GMETCOAL,Gujarat Metallic Coal & Coke Ltd,Industrials,Smallcap,Moderate Risk,bad
GMMPFAUDLR,GMM Pfaudler Ltd,Industrials,Smallcap,Moderate Risk,bad
GMRINFRA,GMR Infrastructure Ltd,Industrials,Midcap,Moderate Risk,bad
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
GNRL,Gujarat Natural Resources Ltd,Energy,Smallcap,Moderate Risk,bad
GOACARBON,Goa Carbon Ltd,Materials,Smallcap,Moderate Risk,bad
GOCLCORP,GOCL Corp Ltd,Materials,Smallcap,Moderate Risk,bad
GODAVARI,Godavari Drugs Ltd,Health Care,Smallcap,High Risk,bad
GODHA,Godha Cabcon & Insulation Ltd,Industrials,Smallcap,Moderate Risk,bad
GODREJPROP,Godrej Properties Ltd,Real Estate,Midcap,Moderate Risk,bad
GOENKA,Goenka Diamond And Jewels Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GOGIACAP,Gogia Capital Services Ltd,Financials,Smallcap,Moderate Risk,bad
GOKEX,Gokaldas Exports Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GOKUL,Gokul Refoils and Solvent Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GOKULAGRO,Gokul Agro Resources Ltd,Consumer Staples,Smallcap,High Risk,bad
GOLCA,Golden Carpets Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
GOLDCOINHF,Goldcoin Health Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GOLDCORP,Goldcrest Corporation Ltd,Financials,Smallcap,Moderate Risk,bad
GOLDENTOBC,Golden Tobacco Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GOLDIAM,Goldiam International Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GOLDLINE,Gold Line International Finvest Ltd,Financials,Smallcap,Moderate Risk,bad
GOLDSTAR,Goldstar Power Ltd,Industrials,Smallcap,Moderate Risk,bad
GOLDTECH,Goldstone Technologies Ltd,Information Technology,Smallcap,High Risk,bad
GOLECHA,Golechha Global Finance Ltd,Financials,Smallcap,Low Risk,bad
GOLKONDA,Golkonda Aluminium Extrusions Ltd,Materials,Smallcap,Moderate Risk,bad
GOODLUCK,Goodluck India Ltd,Materials,Smallcap,High Risk,bad
GOODRICKE,Goodricke Group Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GOPAIST,Gopal Iron and Steels Company (Gujarat) Ltd,Materials,Smallcap,Low Risk,bad
GORANIN,Gorani Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GOWRALE,Gowra Leasing and Finance Ltd,Financials,Smallcap,Moderate Risk,bad
GPIL,Godawari Power and Ispat Ltd,Materials,Smallcap,Moderate Risk,bad
GPL,Grandeur Products Ltd,Consumer Staples,Smallcap,Low Risk,bad
GPTINFRA,GPT Infraprojects Ltd,Industrials,Smallcap,High Risk,bad
GRASIM,Grasim Industries Ltd,Materials,Largecap,Low Risk,bad
GRATEXI,Gratex Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
GRAUWEIL,Grauer And Weil (India) Ltd,Materials,Smallcap,Moderate Risk,bad
GRAVISSHO,Graviss Hospitality Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GRAVITA,Gravita India Ltd,Materials,Smallcap,Moderate Risk,bad
GRAVITY,Gravity (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GREAVESCOT,Greaves Cotton Ltd,Industrials,Smallcap,Moderate Risk,bad
GREENCREST,Greencrest Financial Services Ltd,Financials,Smallcap,Low Risk,bad
GREENPOWER,Orient Green Power Company Ltd,Utilities,Smallcap,Moderate Risk,bad
GRETEX,Gretex Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
GRMOVER,GRM Overseas Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
GROBTEA,Grob Tea Co Ltd,Consumer Staples,Smallcap,High Risk,bad
GROVY,Grovy India Ltd,Real Estate,Smallcap,Low Risk,bad
GRPLTD,GRP Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GSAUTO,G S Auto International Ltd,Consumer Discretionary,Smallcap,High Risk,bad
GSBFIN,GSB Finance Ltd,Financials,Smallcap,Moderate Risk,bad
GSCLCEMENT,Gujarat Sidhee Cement Ltd,Materials,Smallcap,High Risk,bad
GSLSEC,GSL Securities Ltd,Financials,Smallcap,Low Risk,bad
GSS,GSS Infotech Ltd,Information Technology,Smallcap,High Risk,bad
GSTL,Globalspace Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
GTL,GTL Ltd,Communication Services,Smallcap,Moderate Risk,bad
GTLINFRA,GTL Infrastructure Ltd,Communication Services,Smallcap,High Risk,bad
GTNIND,GTN Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GTNTEX,GTN Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GTV,GTV Engineering Ltd,Industrials,Smallcap,Moderate Risk,bad
GUFICBIO,Gufic Biosciences Ltd,Health Care,Smallcap,Moderate Risk,bad
GUJALKALI,Gujarat Alkalies And Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
GUJAPOLLO,Gujarat Apollo Industries Ltd,Industrials,Smallcap,High Risk,bad
GUJCMDS,Gujchem Distillers India Ltd,Materials,Smallcap,Moderate Risk,bad
GUJCONT,Gujarat Containers Ltd,Materials,Smallcap,Moderate Risk,bad
GUJCOTEX,Gujarat Cotex Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GUJCRAFT,Gujarat Craft Industries Ltd,Materials,Smallcap,Moderate Risk,bad
GUJCRED,Gujarat Credit Corporation Ltd,Real Estate,Smallcap,Moderate Risk,bad
GUJHOTE,Gujarat Hotels Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
GUJINTRX,Gujarat Intrux Ltd,Materials,Smallcap,Moderate Risk,bad
GUJINV,Gujarat Investa Ltd,Financials,Smallcap,Moderate Risk,bad
GUJPETR,Gujarat Petrosynthese Ltd,Materials,Smallcap,Moderate Risk,bad
GUJRAFFIA,Gujarat Raffia Industries Ltd,Materials,Smallcap,High Risk,bad
GUJSTATFIN,Gujarat State Financial Corp,Financials,Smallcap,Moderate Risk,bad
GUJTERC,Gujarat Terce Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad
GUJTHEM,Gujarat Themis Biosyn Ltd,Health Care,Smallcap,Moderate Risk,bad
GUJTLRM,Gujarat Toolroom Ltd,Industrials,Smallcap,Moderate Risk,bad
GULFPETRO,GP Petroleums Ltd,Materials,Smallcap,Moderate Risk,bad
GULPOLY,Gulshan Polyols Ltd,Materials,Smallcap,Moderate Risk,bad
GVBL,Genomic Valley Biotech Ltd,Health Care,Smallcap,Low Risk,bad
GVFILM,GV Films Ltd,Communication Services,Smallcap,Moderate Risk,bad
GVKPIL,GVK Power & Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad
GYANDEV,Gyan Developers and Builders Ltd,Real Estate,Smallcap,Low Risk,bad
GYTRIPA,Gayatri Tissue and Papers Ltd,Industrials,Smallcap,Low Risk,bad
HALDER,Halder Venture Ltd,Industrials,Smallcap,Moderate Risk,bad
HALDYNGL,Haldyn Glass Ltd,Materials,Smallcap,Moderate Risk,bad
HANMAN,Hanman Fit Ltd,Consumer Discretionary,Smallcap,High Risk,bad
HARDCAS,Hardcastle and Waud Manufacturing Co Ltd,Materials,Smallcap,Moderate Risk,bad
HARDWYN,Hardwyn India Ltd,Industrials,Smallcap,High Risk,bad
HARIAAPL,Haria Apparels Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HARIAEXPO,Haria Exports Ltd,Industrials,Smallcap,Moderate Risk,bad
HARISH,Harish Textile Engineers Ltd,Industrials,Smallcap,High Risk,bad
HARITASEAT,Harita Seating Systems Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HARRMALAYA,Harrisons Malayalam Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
HARYNACAP,Haryana Capfin Ltd,Financials,Smallcap,Moderate Risk,bad
HATHWAY,Hathway Cable and Datacom Ltd,Communication Services,Smallcap,High Risk,bad
HATHWAYB,Hathway Bhawani Cabletel and Datacom Ltd,Communication Services,Smallcap,Moderate Risk,bad
HAVELLS,Havells India Ltd,Industrials,Largecap,Low Risk,bad
HAVISHA,Sri Havisha Hospitality and Infrastructure Ltd,Energy,Smallcap,High Risk,bad
HBESD,HB Estate Developers Ltd,Real Estate,Smallcap,High Risk,bad
HBLEAS,HB Leasing and Finance Co Ltd,Financials,Smallcap,Moderate Risk,bad
HBLPOWER,HBL Power Systems Ltd,Industrials,Smallcap,High Risk,bad
HBPOR,HB Portfolio Ltd,Financials,Smallcap,High Risk,bad
HBSL,HB Stockholdings Ltd,Financials,Smallcap,Moderate Risk,bad
HCC,Hindustan Construction Company Ltd,Industrials,Smallcap,Moderate Risk,bad
HCKKVENTURE,HCKK Ventures Ltd,Real Estate,Smallcap,Low Risk,bad
HCL-INSYS,HCL Infosystems Ltd,Information Technology,Smallcap,Moderate Risk,bad
HCLTD,Hind Commerce Ltd,Industrials,Smallcap,Low Risk,bad
HDFCAMC,HDFC Asset Management Company Ltd,Financials,Largecap,Low Risk,bad
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,Largecap,Low Risk,bad
HDIL,Housing Development and Infrastructure Ltd,Real Estate,Smallcap,Moderate Risk,bad
HECPROJECT,HEC Infra Projects Ltd,Industrials,Smallcap,Low Risk,bad
HEERAISP,Heera Ispat Ltd,Materials,Smallcap,Low Risk,bad
HELPAGE,Helpage Finlease Ltd,Financials,Smallcap,Moderate Risk,bad
HEMIPROP,Hemisphere Properties India Ltd,Real Estate,Smallcap,High Risk,bad
HEMORGANIC,Hemo Organic Ltd,Health Care,Smallcap,Low Risk,bad
HERCULES,Hercules Hoists Ltd,Industrials,Smallcap,High Risk,bad
HEROMOTOCO,Hero MotoCorp Ltd,Consumer Discretionary,Largecap,Low Risk,bad
HESTERBIO,Hester Biosciences Ltd,Health Care,Smallcap,Moderate Risk,bad
HEXATRADEX,Hexa Tradex Ltd,Industrials,Smallcap,Moderate Risk,bad
HFCL,HFCL Ltd,Communication Services,Smallcap,High Risk,bad
HFIL,Himalya International Ltd,Consumer Staples,Smallcap,High Risk,bad
HGS,Hinduja Global Solutions Ltd,Information Technology,Smallcap,Moderate Risk,bad
HIGHENE,High Energy Batteries (India) Ltd,Industrials,Smallcap,High Risk,bad
HIGHSTREE,High Street Filatex Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
HILTON,Hilton Metal Forging Ltd,Industrials,Smallcap,Moderate Risk,bad
HIMGRANI,Himalaya Granites Ltd,Financials,Smallcap,Low Risk,bad
HIMTEK,HIM Teknoforge Ltd,Consumer Discretionary,Smallcap,High Risk,bad
HINDADH,Hindustan Adhesives Ltd,Materials,Smallcap,High Risk,bad
HINDALUMI,Hind Aluminium Industries Ltd,Materials,Smallcap,Moderate Risk,bad
HINDBIO,Hindustan Bio Sciences Ltd,Health Care,Smallcap,Moderate Risk,bad
HINDCOMPOS,Hindustan Composites Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HINDCON,Hindcon Chemicals Ltd,Materials,Smallcap,High Risk,bad
HINDCOPPER,Hindustan Copper Ltd,Materials,Midcap,High Risk,bad
HINDEVER,Hindustan Everest Tools Ltd,Industrials,Smallcap,Moderate Risk,bad
HINDMILL,Hindoostan Mills Ltd,Consumer Discretionary,Smallcap,High Risk,bad
HINDMOTORS,Hindustan Motors Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HINDNATGLS,Hindusthan National Glass And Industries Ltd,Materials,Smallcap,High Risk,bad
HINDOILEXP,Hindustan Oil Exploration Company Ltd,Energy,Smallcap,Moderate Risk,bad
HINDTIN,Hindustan Tin Works Ltd,Materials,Smallcap,Moderate Risk,bad
HINDZINC,Hindustan Zinc Ltd,Materials,Largecap,Moderate Risk,bad
HINFLUR,Hindustan Fluoro Carbons Ltd,Materials,Smallcap,Moderate Risk,bad
HIRECT,Hind Rectifiers Ltd,Industrials,Smallcap,Moderate Risk,bad
HISARMETAL,Hisar Metal Industries Ltd,Industrials,Smallcap,High Risk,bad
HISARSP,Hisar Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HITECH,Hi-Tech Pipes Ltd,Industrials,Smallcap,Moderate Risk,bad
HITECHCORP,Hitech Corporation Ltd,Materials,Smallcap,High Risk,bad
HITECHGEAR,Hi-Tech Gears Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HITKITGLO,Hit Kit Global Solutions Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
HITTCO,Hittco Tools Ltd,Industrials,Smallcap,Moderate Risk,bad
HLEGLAS,HLE Glascoat Ltd,Industrials,Smallcap,Moderate Risk,bad
HLVLTD,HLV Ltd,Consumer Discretionary,Smallcap,High Risk,bad
HMT,HMT Ltd,Industrials,Smallcap,Moderate Risk,bad
HMVL,Hindustan Media Ventures Ltd,Communication Services,Smallcap,Moderate Risk,bad
HNDFDS,Hindustan Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
HOCL,Hindustan Organic Chemicals Ltd,Materials,Smallcap,High Risk,bad
HOMEFIRST,Home First Finance Company India Ltd,Financials,Smallcap,Moderate Risk,bad
HONAUT,Honeywell Automation India Ltd,Information Technology,Largecap,Low Risk,bad
HONDAPOWER,Honda India Power Products Ltd,Industrials,Smallcap,Low Risk,bad
HOTELRUGBY,Hotel Rugby Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
HOTLSILV,H S India Ltd,Consumer Discretionary,Smallcap,High Risk,bad
HOVS,HOV Services Ltd,Information Technology,Smallcap,Moderate Risk,bad
HPIL,Hindprakash Industries Ltd,Materials,Smallcap,Low Risk,bad
HPL,HPL Electric & Power Ltd,Industrials,Smallcap,Moderate Risk,bad
HRMNYCP,Harmony Capital Services Ltd,Financials,Smallcap,Low Risk,bad
HRYNSHP,Hariyana Ship Breakers Ltd,Industrials,Smallcap,High Risk,bad
HSIL,HSIL Ltd,Industrials,Smallcap,Moderate Risk,bad
HTMEDIA,HT Media Ltd,Communication Services,Smallcap,Moderate Risk,bad
HUBTOWN,Hubtown Ltd,Real Estate,Smallcap,Moderate Risk,bad
HUIL,Hindusthan Urban Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad
HUSYSLTD,Husys Consulting Ltd,Industrials,Smallcap,High Risk,bad
HYPERSOFT,Hypersoft Technologies Ltd,Information Technology,Smallcap,Low Risk,bad
IBREALEST,Indiabulls Real Estate Ltd,Real Estate,Smallcap,High Risk,bad
IBRIGST,Indian Bright Steel Co Ltd,Materials,Smallcap,Low Risk,bad
IBULHSGFIN,Indiabulls Housing Finance Ltd,Financials,Smallcap,High Risk,bad
ICEMAKE,Ice Make Refrigeration Ltd,Industrials,Smallcap,Moderate Risk,bad
ICIL,Indo Count Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ICRA,ICRA Ltd,Financials,Smallcap,Moderate Risk,bad
ICSL,Integrated Capital Services Ltd,Industrials,Smallcap,Moderate Risk,bad
IDBI,IDBI Bank Ltd,Financials,Largecap,High Risk,bad
IDEA,Vodafone Idea Ltd,Communication Services,Midcap,High Risk,bad
IDFC,IDFC Ltd,Financials,Smallcap,Moderate Risk,bad
IDFCFIRSTB,IDFC First Bank Ltd,Financials,Midcap,Moderate Risk,bad
IDM,International Data Management Ltd,Information Technology,Smallcap,Moderate Risk,bad
IFBAGRO,IFB Agro Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
IFCI,IFCI Ltd,Financials,Smallcap,High Risk,bad
IFGLEXPOR,IFGL Refractories Ltd,Industrials,Smallcap,High Risk,bad
IFINSEC,India Finsec Ltd,Financials,Smallcap,Moderate Risk,bad
IFINSER,Interactive Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
IFL,IFL Enterprises Ltd,Consumer Discretionary,Smallcap,High Risk,bad
IFSL,Integrated Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
IGARASHI,Igarashi Motors India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
IGCIL,IGC Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
IGL,Indraprastha Gas Ltd,Utilities,Midcap,Low Risk,bad
IIFL,IIFL Finance Ltd,Financials,Smallcap,High Risk,bad
IIFLSEC,IIFL Securities Ltd,Financials,Smallcap,High Risk,bad
IITL,Industrial Investment Trust Ltd,Financials,Smallcap,Moderate Risk,bad
IITLPROJ,IITL Projects Ltd,Real Estate,Smallcap,Moderate Risk,bad
IL&FSENGG,IL&FS Engineering and Construction Company Ltd,Industrials,Smallcap,Moderate Risk,bad
IL&FSTRANS,IL&FS Transportation Networks Ltd,Industrials,Smallcap,Moderate Risk,bad
IMAGICAA,Imagicaaworld Entertainment Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
IMFA,Indian Metals and Ferro Alloys Ltd,Materials,Smallcap,Moderate Risk,bad
IMPAL,India Motor Parts & Accessories Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
IMPEXFERRO,Impex Ferro Tech Ltd,Materials,Smallcap,High Risk,bad
INANI,Inani Marbles and Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
INCON,Incon Engineers Ltd,Industrials,Smallcap,Moderate Risk,bad
INDAG,Indag Rubber Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INDAGIV,Ind Agiv Commerce Ltd,Information Technology,Smallcap,Moderate Risk,bad
INDBANK,Indbank Merchant Banking Services Ltd,Financials,Smallcap,High Risk,bad
INDBNK,Ind Bank Housing Ltd,Financials,Smallcap,High Risk,bad
INDCEMCAP,India Cements Capital Ltd,Consumer Discretionary,Smallcap,High Risk,bad
INDCTST,Inducto Steels Ltd,Materials,Smallcap,Moderate Risk,bad
INDERGR,Indergiri Finance Ltd,Financials,Smallcap,Low Risk,bad
INDGELA,India Gelatine and Chemicals Ltd,Materials,Smallcap,Low Risk,bad
INDIACEM,India Cements Ltd,Materials,Smallcap,Moderate Risk,bad
INDIAGLYCO,India Glycols Ltd,Materials,Smallcap,Moderate Risk,bad
INDIAHOME,India Home Loan Ltd,Financials,Smallcap,Moderate Risk,bad
INDIAMART,IndiaMART InterMESH Ltd,Communication Services,Midcap,Moderate Risk,bad
INDIANACRY,Indian Acrylics Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INDIANCARD,Indian Card Clothing Company Ltd,Industrials,Smallcap,Moderate Risk,bad
INDIANVSH,Indianivesh Ltd,Financials,Smallcap,Moderate Risk,bad
INDICAP,Inditrade Capital Ltd,Financials,Smallcap,Moderate Risk,bad
INDIGO,Interglobe Aviation Ltd,Industrials,Largecap,Moderate Risk,bad
INDIGOPNTS,Indigo Paints Ltd,Materials,Smallcap,Low Risk,bad
INDINFO,Indian Infotech and Software Ltd,Financials,Smallcap,Moderate Risk,bad
INDINFRA,India Infraspace Ltd,Industrials,Smallcap,Moderate Risk,bad
INDLEASE,India Lease Development Ltd,Financials,Smallcap,Moderate Risk,bad
INDLMETER,IMP Powers Ltd,Industrials,Smallcap,Moderate Risk,bad
INDNIPPON,India Nippon Electricals Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INDOAMIN,Indo Amines Ltd,Materials,Smallcap,Moderate Risk,bad
INDOASIAF,Indo Asia Finance Ltd,Financials,Smallcap,Low Risk,bad
INDOBORAX,Indo Borax and Chemicals Ltd,Materials,Smallcap,High Risk,bad
INDOCITY,Indo-City Infotech Ltd,Financials,Smallcap,Moderate Risk,bad
INDOCRED,Indo Credit Capital Ltd,Financials,Smallcap,Low Risk,bad
INDOKEM,Indokem Ltd,Materials,Smallcap,Moderate Risk,bad
INDORAMA,Indo Rama Synthetics (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INDOSOLAR,Indosolar Ltd,Industrials,Smallcap,High Risk,bad
INDOSTAR,IndoStar Capital Finance Ltd,Financials,Smallcap,Moderate Risk,bad
INDOTECH,Indo Tech Transformers Ltd,Industrials,Smallcap,Moderate Risk,bad
INDOTHAI,Indo Thai Securities Ltd,Financials,Smallcap,High Risk,bad
INDOUS,Indo Us Bio-Tech Ltd,Consumer Staples,Smallcap,High Risk,bad
INDOWIND,Indowind Energy Ltd,Utilities,Smallcap,Moderate Risk,bad
INDPRUD,Industrial and Prudential Investment Co Ltd,Financials,Smallcap,Low Risk,bad
INDRAMEDCO,Indraprastha Medical Corporation Ltd,Health Care,Smallcap,Moderate Risk,bad
INDRANIB,Indrayani Biotech Ltd,Information Technology,Smallcap,High Risk,bad
INDRENEW,Ind Renewable Energy Ltd,Industrials,Smallcap,High Risk,bad
INDSILHYD,Indsil Hydro Power and Manganese Ltd,Materials,Smallcap,Moderate Risk,bad
INDSUCR,Indian Sucrose Ltd,Consumer Staples,Smallcap,High Risk,bad
INDSWFTLAB,IND Swift Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad
INDSWFTLTD,Ind Swift Ltd,Health Care,Smallcap,Moderate Risk,bad
INDTERRAIN,Indian Terrain Fashions Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INDTONER,Indian Toners & Developers Ltd,Materials,Smallcap,Moderate Risk,bad
INDUSTOWER,Indus Towers Ltd,Communication Services,Largecap,Moderate Risk,bad
INEOSSTYRO,INEOS Styrolution India Ltd,Materials,Smallcap,Moderate Risk,bad
INFLAME,Inflame Appliances Ltd,Consumer Discretionary,Smallcap,High Risk,bad
INFOBEAN,Infobeans Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
INFOMEDIA,Infomedia Press Ltd,Communication Services,Smallcap,Moderate Risk,bad
INFRAIND,Infra Industries Ltd,Materials,Smallcap,Moderate Risk,bad
INFRONICS,Infronics Systems Ltd,Information Technology,Smallcap,Low Risk,bad
INGERRAND,Ingersoll-Rand (India) Ltd,Industrials,Smallcap,Low Risk,bad
INLCM,The Indian Link Chain Manufactrers Ltd,Industrials,Smallcap,Low Risk,bad
INNOCORP,Innocorp Ltd,Materials,Smallcap,Moderate Risk,bad
INNOVANA,Innovana Thinklabs Ltd,Information Technology,Smallcap,High Risk,bad
INNOVATIVE,Innovative Tyres & Tubes Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
INNOVATIVE,Innovative Ideals and Services (India) Ltd,Information Technology,Smallcap,High Risk,bad
INNOVATORS,Innovators Facade Systems Ltd,Industrials,Smallcap,High Risk,bad
INNOVTEC,Innovative Tech Pack Ltd,Materials,Smallcap,Moderate Risk,bad
INOVSYNTH,Innovassynth Investments Ltd,Materials,Smallcap,High Risk,bad
INOXWIND,Inox Wind Ltd,Industrials,Smallcap,High Risk,bad
INSILCO,Insilco Ltd,Materials,Smallcap,High Risk,bad
INSPIRISYS,Inspirisys Solutions Ltd,Information Technology,Smallcap,High Risk,bad
INTCAPM,Integra Capital Management Ltd,Financials,Smallcap,Low Risk,bad
INTECCAP,Intec Capital Ltd,Financials,Smallcap,Moderate Risk,bad
INTECH,Integrated Technologies Ltd,Industrials,Smallcap,Moderate Risk,bad
