stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion,stock_ticker_url
EASTRED,Eastern Treads Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/eastern-treads-EASTR?checklist=basic
EASUN,Easun Capital Markets Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/easun-capital-markets-EASUN?checklist=basic
EASUNREYRL,Easun Reyrolle Ltd,Utilities,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/easun-reyrolle-EASU?checklist=basic
WEIZFIN,Easy Fincorp Ltd,N/A,nocap,Low Risk,bad,https://www.tickertape.in/stocks/easy-fincorp-WEI?checklist=basic
EASEMYTRIP,Easy Trip Planners Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/easy-trip-planners-EASE?checklist=basic
EBIXFOREX,Ebixcash World Money India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ebixcash-world-money-india-EBIW?checklist=basic
ECLERX,Eclerx Services Ltd,Information Technology,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/eclerx-services-ECLE?checklist=basic
ECORECO,Eco Recycling Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/eco-recycling-ECOR?checklist=basic
ECOBOAR,Ecoboard Industries Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ecoboard-industries-WESTE?checklist=basic
ETIL,Econo Trade (India) Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/econo-trade-india-ETI?checklist=basic
ECOPLAST,Ecoplast Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ecoplast-ECOP?checklist=basic
ECS,Ecs Biztech Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ecs-biztech-ECS?checklist=basic
EDELWEISS,Edelweiss Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/edelweiss-financial-services-EDEL?checklist=basic
EDUCOMP,Educomp Solutions Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/educomp-solutions-EDSO?checklist=basic
EICHERMOT,Eicher Motors Ltd,Industrials,Largecap,Low Risk,bad,https://www.tickertape.in/stocks/eicher-motors-EICH?checklist=basic
EIMCOELECO,Eimco Elecon India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/eimco-elecon-india-EIMC?checklist=basic
EML,Ejecta Marketing Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ejecta-marketing-EML?checklist=basic
EKAMLEA,Ekam Leasing and Finance Co Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ekam-leasing-and-finance-co-EKA?checklist=basic
EKI,Eki Energy Services Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/eki-energy-services-EKI?checklist=basic
ELANGO,Elango Industries Ltd,Utilities,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elango-industries-ELA?checklist=basic
ELCIDIN,Elcid Investments Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/elcid-investments-ELC?checklist=basic
ELDEHSG,Eldeco Housing And Industries Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/eldeco-housing-and-industries-ELD?checklist=basic
ELECON,Elecon Engineering Company Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/elecon-engineering-company-ELCN?checklist=basic
ELECTCAST,Electrosteel Castings Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/electrosteel-castings-ELST?checklist=basic
ELECTHERM,Electrotherm (India) Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/electrotherm-india-ELTH?checklist=basic
ELEFLOR,Elegant Floriculture & Agrotech (India) Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elegant-floriculture-and-agrotech-india-ELEF?checklist=basic
ELEMARB,Elegant Marbles and Grani Industries Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elegant-marbles-and-grani-industries-ELE?checklist=basic
ELGIEQUIP,Elgi Equipments Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elgi-equipments-ELGE?checklist=basic
ELITECON,Elitecon International Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/elitecon-international-ELI?checklist=basic
ELIXIR,Elixir Capital Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elixir-capital-ELIX?checklist=basic
ELLORATRAD,Ellora Trading Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ellora-trading-ELL?checklist=basic
ELNET,Elnet Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elnet-technologies-ENET?checklist=basic
ELPROINTL,Elpro International Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/elpro-international-ELP?checklist=basic
EMAMILTD,Emami Ltd,Consumer Staples,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/emami-EMAM?checklist=basic
EMAMIPAP,Emami Paper Mills Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/emami-paper-mills-EMAP?checklist=basic
EMAMIREAL,Emami Realty Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/emami-realty-EMMI?checklist=basic
EMBASSY,Embassy Office Parks REIT,Real Estate,Midcap,Low Risk,good,https://www.tickertape.in/stocks/embassy-office-parks-reit-EMBA?checklist=basic
EMERALD,Emerald Leasing Finance and Investment Co Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/emerald-leasing-finance-and-investment-co-EME?checklist=basic
EMERALL,Emerald Leisures Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/emerald-leisures-EMER?checklist=basic
EMERGENT,Emergent Industrial Solutions Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/emergent-energy-and-services-SRIO?checklist=basic
EMKAY,Emkay Global Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/emkay-global-financial-services-EMKS?checklist=basic
EMKAYTOOLS,Emkay Taps And Cutting Tools Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/emkay-taps-and-cutting-tools-EMKY?checklist=basic
EMMBI,Emmbi Industries Ltd,Materials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/emmbi-industries-EMMB?checklist=basic
EMMESSA,Emmessar Biotech and Nutrition Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/emmessar-biotech-and-nutrition-EMME?checklist=basic
EDL,Empee Distilleries Ltd,Consumer Staples,nocap,High Risk,bad,https://www.tickertape.in/stocks/empee-distilleries-EMDI?checklist=basic
EMPIND,Empire Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/empire-industries-EMPI?checklist=basic
ENBETRD,Enbee Trade and Finance Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/enbee-trade-and-finance-ENB?checklist=basic
ENDURANCE,Endurance Technologies Ltd (CN),Consumer Discretionary,Midcap,Low Risk,good,https://www.tickertape.in/stocks/endurance-technologies-cn-ENDU?checklist=basic
ENERGYDEV,Energy Development Company Ltd,Utilities,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/energy-development-company-EDCO?checklist=basic
ENGINERSIN,Engineers India Ltd,Industrials,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/engineers-india-ENGI?checklist=basic
ENKEIWHEL,Enkei Wheels India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/enkei-wheels-india-ENK?checklist=basic
ENTRINT,Enterprise International Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/enterprise-international-ENT?checklist=basic
ENIL,Entertainment Network (India) Ltd,Communication Services,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/entertainment-network-india-ENIL?checklist=basic
ENVAIREL,Envair Electrodyne Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/envair-electrodyne-KIRLO?checklist=basic
EPSOMPRO,Epsom Properties Ltd,Real Estate,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/epsom-properties-EPS?checklist=basic
EQUITAS,Equitas Holdings Ltd,Financials,Smallcap,High Risk,good,https://www.tickertape.in/stocks/equitas-holdings-EQHL?checklist=basic
EQUITASBNK,Equitas Small Finance Bank Ltd,Financials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/equitas-small-finance-bank-EQU?checklist=basic
ERIS,Eris Lifesciences Ltd,Health Care,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/eris-lifesciences-ERIS?checklist=basic
EROSMEDIA,Eros International Media Ltd,Communication Services,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/eros-international-media-EROS?checklist=basic
ERPSOFT,Erp Soft Systems Ltd,Information Technology,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/erp-soft-systems-ERP?checklist=basic
ESARIND,Esaar (India) Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/esaar-india-ESA?checklist=basic
ESCORP,Escorp Asset Management Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/escorp-asset-management-ESC?checklist=basic
ESCORTSFIN,Escorts Finance Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/escorts-finance-ESCOR?checklist=basic
ESCORTS,Escorts Ltd,Industrials,Midcap,Low Risk,good,https://www.tickertape.in/stocks/escorts-ESCO?checklist=basic
ESHAMEDIA,Esha Media Research Ltd,Communication Services,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/esha-media-research-ESH?checklist=basic
ESSARSEC,Essar Securities Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/essar-securities-ESS?checklist=basic
ESSARSHPNG,Essar Shipping Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/essar-shipping-ESPL?checklist=basic
ESTER,Ester Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ester-industries-ESTR?checklist=basic
EUREKAI,Eureka Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/eureka-industries-EURE?checklist=basic
EUROASIA,Euro Asia Exports Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/euro-asia-exports-EUR?checklist=basic
EUROCERA,Euro Ceramics Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/euro-ceramics-EUCE?checklist=basic
EIFFL,Euro India Fresh Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/euro-india-fresh-foods-EURN?checklist=basic
EUROMULTI,Euro Multivision Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/euro-multivision-EUMU?checklist=basic
EUROTEXIND,Eurotex Industries and Exports Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/eurotex-industries-and-exports-EURO?checklist=basic
EVANS,Evans Electric Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/evans-electric-EVA?checklist=basic
EVEREADY,Eveready Industries India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/eveready-industries-india-ERDY?checklist=basic
EVERESTIND,Everest Industries Ltd,Industrials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/everest-industries-EVRI?checklist=basic
EKC,Everest Kanto Cylinder Ltd,Utilities,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/everest-kanto-cylinder-EKCL?checklist=basic
EVERESTO,Everest Organics Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/everest-organics-EVE?checklist=basic
EVERTEX,Evergreen Textiles Ltd,Consumer Discretionary,nocap,Low Risk,bad,https://www.tickertape.in/stocks/evergreen-textiles-EVERT?checklist=basic
EVERLON,Everlon Synthetics Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/everlon-synthetics-EVER?checklist=basic
EVEXIA,Evexia Lifecare Ltd,Energy,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/kavit-industries-KAV?checklist=basic
EXCELINDUS,Excel Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/excel-industries-EXCI?checklist=basic
EXCEL,Excel Realty N Infra Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/excel-realty-n-infra-EXCE?checklist=basic
EXIDEIND,Exide Industries Ltd,Industrials,Midcap,Low Risk,good,https://www.tickertape.in/stocks/exide-industries-EXID?checklist=basic
EXPLEOSOL,Expleo Solutions Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/expleo-solutions-EXPL?checklist=basic
EXPLICITFIN,Explicit Finance Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/explicit-finance-EXP?checklist=basic
EXPOGAS,Expo Gas Containers Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/expo-gas-containers-EXPO?checklist=basic
FDC,F D C Ltd,Health Care,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/f-d-c-FDC?checklist=basic
FGP,F G P Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fgp-FGP?checklist=basic
FMEC,F Mec International Financial Services Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/f-mec-international-financial-services-FME?checklist=basic
FCSSOFT,FCS Software Solutions Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/fcs-software-solutions-FCSS?checklist=basic
FACORALL,Facor Alloys Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/facor-alloys-FACO?checklist=basic
FAIRCHEMOR,Fairchem Organics Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/fairchem-organics-FAI?checklist=basic
FARMAXIND,Farmax India Ltd,Consumer Staples,nocap,High Risk,bad,https://www.tickertape.in/stocks/farmax-india-FARM?checklist=basic
FAZE3AUTO,Faze Three Autofab Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/faze-three-autofab-FAZ?checklist=basic
FAZE3Q,Faze Three Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/faze-three-FAZE?checklist=basic
FEDERALBNK,Federal Bank Ltd,Financials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/federal-bank-FED?checklist=basic
FMGOETZE,Federal-Mogul Goetze (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/federal-mogul-goetze-india-FEDM?checklist=basic
FELIX,Felix Industries Ltd,Utilities,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/felix-industries-FELX?checklist=basic
FERMENTA,Fermenta Biotech Ltd,Health Care,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/fermenta-biotech-FERM?checklist=basic
FACT,Fertilisers And Chemicals Travancore Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/fertilisers-and-chemicals-travancore-FCTL?checklist=basic
FERVENTSYN,Fervent Synergies Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/fervent-synergies-FER?checklist=basic
FIBERWEB,Fiberweb (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fiberweb-india-FIB?checklist=basic
FIEMIND,Fiem Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fiem-industries-FIIN?checklist=basic
FILATFASH,Filatex Fashions Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/filatex-fashions-FILA?checklist=basic
FILATEX,Filatex India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/filatex-india-FLTX?checklist=basic
FILTRA,Filtra Consultants and Engineers Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/filtra-consultants-and-engineers-FIL?checklist=basic
FINEORG,Fine Organic Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fine-organic-industries-FINO?checklist=basic
FINELINE,Fine-Line Circuits Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fine-line-circuits-FIN?checklist=basic
FCL,Fineotex Chemical Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/fineotex-chemical-FINE?checklist=basic
FINKURVE,Finkurve Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/finkurve-financial-services-FINK?checklist=basic
FINCABLES,Finolex Cables Ltd,Industrials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/finolex-cables-FNXC?checklist=basic
FINPIPE,Finolex Industries Ltd,Industrials,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/finolex-industries-FINX?checklist=basic
1STCUS,First Custodian Fund (India) Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/first-custodian-fundi-STCU?checklist=basic
FIRSTWIN,First Winner Industries Ltd,Consumer Discretionary,nocap,High Risk,bad,https://www.tickertape.in/stocks/first-winner-industries-FIST?checklist=basic
FIRSTOBJ,Firstobject Technologies Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/firstobject-technologies-FIR?checklist=basic
FSL,Firstsource Solutions Ltd,Information Technology,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/firstsource-solutions-FISO?checklist=basic
FISCHER,Fischer Chemic Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fischer-chemic-FIS?checklist=basic
FIVECORE,Five Core Electronics Ltd,Information Technology,nocap,High Risk,bad,https://www.tickertape.in/stocks/five-core-electronics-FIVC?checklist=basic
FIVEXTRADE,Five X Tradecom Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/five-x-tradecom-FIV?checklist=basic
FLEXFO,Flex Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/flex-foods-FLE?checklist=basic
FLEXITUFF,Flexituff Ventures International Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/flexituff-ventures-international-FLEI?checklist=basic
FLOMIC,Flomic Global Logistics Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/vinaditya-trading-company-ZVI?checklist=basic
FLORATX,Flora Textiles Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/flora-textiles-FLO?checklist=basic
FLUIDOM,Fluidomat Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fluidomat-FLU?checklist=basic
FOCUS,Focus Lighting and Fixtures Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/focus-lighting-and-fixtures-FOCS?checklist=basic
FOODSIN,Foods And Inns Ltd,Consumer Staples,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/foods-and-inns-FOO?checklist=basic
FORBESCO,Forbes & Company Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/forbes-and-company-FORB?checklist=basic
FORCEMOT,Force Motors Ltd,Consumer Discretionary,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/force-motors-FORC?checklist=basic
FORTIS,Fortis Healthcare Ltd,Health Care,Midcap,Low Risk,good,https://www.tickertape.in/stocks/fortis-healthcare-FOHE?checklist=basic
FORTISMLR,Fortis Malar Hospitals Ltd,Health Care,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/fortis-malar-hospitals-FORTI?checklist=basic
FORINTL,Fortune International Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fortune-international-FOR?checklist=basic
FOSECOIND,Foseco India Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/foseco-india-FSCO?checklist=basic
FFPL,Foundry Fuel Products Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/foundry-fuel-products-FFP?checklist=basic
FOURTHDIM,Fourth Dimension Solutions Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/fourth-dimension-solutions-FOUT?checklist=basic
4THGEN,Fourth Generation Information Systems Ltd,Information Technology,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/fourth-generation-information-systems-THG?checklist=basic
FRANKLININD,Franklin Industries Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/franklin-industries-FRAN?checklist=basic
FRANKLIN,Franklin Leasing and Finance Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/franklin-leasing-and-finance-FRA?checklist=basic
FRASER,Fraser and Co Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fraser-and-company-FRAS?checklist=basic
FREDUN,Fredun Pharmaceuticals Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fredun-pharmaceuticals-FRE?checklist=basic
FRSHTRP,Freshtrop Fruits Ltd,Consumer Staples,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/freshtrop-fruits-FRS?checklist=basic
FRONTCAP,Frontier Capital Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/frontier-capital-FRONC?checklist=basic
FRONTSP,Frontier Springs Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/frontier-springs-FRONS?checklist=basic
FRONTCORP,Frontline corporation Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/frontline-corporation-FRO?checklist=basic
FRUTION,Fruition venture Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fruition-venture-FRU?checklist=basic
FUNDVISER,Fundviser Capital (India) Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/fundviser-capital-india-FUND?checklist=basic
FCONSUMER,Future Consumer Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/future-consumer-FTRE?checklist=basic
FELDVR,Future Enterprises Ltd - DVR,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/future-enterprises---dvr-FURdv?checklist=basic
FEL,Future Enterprises Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/future-enterprises-FURE?checklist=basic
FLFL,Future Lifestyle Fashions Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/future-lifestyle-fashions-FLFL?checklist=basic
FMNL,Future Market Networks Ltd,Real Estate,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/future-market-networks-FMNL?checklist=basic
FRETAIL,Future Retail Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/future-retail-FRTL?checklist=basic
FSC,Future Supply Chain Solutions Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/future-supply-chain-solutions-FUTE?checklist=basic
FUTURSEC,Futuristic Securities Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/futuristic-securities-FUTU?checklist=basic
FUTSOL,Futuristic Solutions Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/futuristic-solutions-FUT?checklist=basic
GDLLEAS,G D L Leasing and Finance Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/gdl-leasing-and-finance-GDL?checklist=basic
GDTRAGN,G D Trading and Agencies Ltd,N/A,nocap,High Risk,bad,https://www.tickertape.in/stocks/g-d-trading-and-agencies-GDT?checklist=basic
GGENG,G G Engineering Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/g-g-engineering-GGE?checklist=basic
GKCONS,G K Consultants Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/g-k-consultants-GKC?checklist=basic
GKP,G K P Printing & Packaging Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/g-k-p-printing-and-packaging-GKP?checklist=basic
GMBREW,G M Breweries Ltd,Consumer Staples,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/g-m-breweries-GMBR?checklist=basic
GMPL,G M Polyplast Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/g-m-polyplast-GMP?checklist=basic
GSAUTO,G S Auto International Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/g-s-auto-international-GSA?checklist=basic
GAIL,GAIL (India) Ltd,Utilities,Largecap,Low Risk,good,https://www.tickertape.in/stocks/gail-india-GAIL?checklist=basic
GBGLOBAL,GB Global Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gb-global-GBGL?checklist=basic
GBLIL,GBL Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gbl-industries-GBL?checklist=basic
GCMCAPI,GCM Capital Advisors Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/gcm-capital-advisors-GCM?checklist=basic
GCMCOMM,GCM Commodity & Derivatives Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/gcm-commodity-and-derivatives-GCMC?checklist=basic
GCMSECU,GCM Securities Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/gcm-securities-GCMS?checklist=basic
GEE,GEE Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gee-GEG?checklist=basic
GFLLIMITED,GFL Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gfl-GFLL?checklist=basic
GGDANDE,GG Dandeker Machine Works Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/g-g-dandekar-machine-works-GGD?checklist=basic
GHCL,GHCL Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ghcl-GHCH?checklist=basic
GISOLUTION,GI Engineering Solutions Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gi-engineering-solutions-GIEN?checklist=basic
GICHSGFIN,GIC Housing Finance Ltd,Financials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/gic-housing-finance-GICH?checklist=basic
GIRRESORTS,GIR Natureview Resorts Ltd,Consumer Discretionary,nocap,Low Risk,bad,https://www.tickertape.in/stocks/gir-natureview-resorts-GIRN?checklist=basic
GKB,GKB Ophthalmics Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/gkb-ophthalmics-GKB?checklist=basic
GKWLIMITED,GKW Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gkw-GKWL?checklist=basic
GMMPFAUDLR,GMM Pfaudler Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gmm-pfaudler-GMMP?checklist=basic
GMRINFRA,GMR Infrastructure Ltd,Industrials,Midcap,Moderate Risk,bad,https://www.tickertape.in/stocks/gmr-infrastructure-GMRI?checklist=basic
